[1.2095 0.313121 0 0.0224149 0.976199 0.688881 0.0287483 0.172903 0.358922 
 ;12.1778 2.80205 0.578356 0.0100621 0.0629641 0.0790481 0.0396464 0.0315151 3.97553 
 ;10.0222 1.77363 0.0613772 0.255742 0.109855 0.0165708 0.00545229 0.020855 1.52208 
 ;1.37951 0.433406 0.725682 0.861384 0.430007 0.051812 0.0421794 0.111058 0.142787 
 ;1.25927 0.53398 0.541657 0.956195 1.03586 0.387559 0.25605 0.622478 1.34009 
 ;1.51859 0.647339 0.813624 0.590136 0.919791 0.76023 1.73137 4.00005 2.81852 
 ;0.705401 0.100457 0.0170066 0.0726055 1.66474 1.66299 1.28492 1.31585 0.449322 
 ;0.470833 0.0223654 0.0730946 0.037034 4.38109 5.17004 0.717589 0.194935 0.0478041 
 ;0.698775 0.00686861 0.0146872 0.0251426 4.16292 6.37138 0.086294 0.018939 0.0160384 
 ;1.91471 0.00206602 0.13093 0.0993378 5.89366 5.26839 0.17231 0.113725 0.0547128 
 ;1.51489 0.020429 0.221919 0.36824 4.53222 5.08509 0.63611 0.174036 0.0727698 
 ;3.51809 1.19065 0.0852293 0.0271005 0.95869 0.69645 0.0458124 0.0700802 0.446979 
 ;10.9697 3.75158 0.514398 1.12285 1.18375 0.946441 0.194906 0.317443 4.84474 
 ;3.99857 0.945052 1.40427 1.67815 1.42404 0.841831 0.311179 1.1288 3.84611 
 ;0.421457 0.269577 1.03231 0.983398 0.457131 0.256035 0.245453 0.475656 0.986167 
 ;1.45084 0.899621 0.406151 0.263594 0.371495 0.67429 0.749248 1.43214 1.68591 
 ;2.22605 1.2679 1.1079 0.834771 2.04641 2.51829 2.08513 4.56877 5.68294 
 ;0.969223 1.10647 1.75195 1.74559 4.18524 4.42473 1.21607 1.09325 2.18551 
 ;0.502187 0.739045 1.60806 1.46323 3.1776 3.5798 0.979249 1.08594 1.18127 
 ;0.636446 0.406608 0.545047 0.609289 2.24855 2.8472 0.880481 0.687827 1.47127 
 ;0.733082 0.544266 0.661804 0.728157 3.19325 3.73213 0.515544 0.185195 0.483873 
 ;0.311462 0.450802 0.311631 0.773098 2.57152 1.79275 0.447033 0.350148 0.739529 
 ;3.53214 1.12136 0.22518 0.106752 3.64107 2.63715 0.216136 0.00225001 0.434981 
 ;2.84581 3.2211 1.07528 1.20708 1.62803 1.92429 1.55832 1.47819 0.970811 
 ;0.253174 0.455693 0.953168 1.08655 1.10102 1.72734 1.10917 1.2373 0.970263 
 ;0.627648 1.05519 1.09436 0.887862 1.34784 1.07713 1.04801 1.0736 1.80881 
 ;1.0841 1.48406 0.633109 0.471754 0.787095 1.36317 1.08932 1.62295 2.79239 
 ;0.573812 1.60998 1.46621 0.653111 2.36364 3.0748 2.32315 3.20879 4.38457 
 ;0.797895 1.61909 1.54568 1.28881 2.36518 2.37977 1.69054 1.60779 2.0367 
 ;0.784025 2.29001 1.82783 2.2092 1.57022 2.21409 2.37337 2.28706 2.10444 
 ;3.71307 3.61915 1.75426 1.45046 1.5265 1.99735 0.744596 1.4676 2.57779 
 ;2.35634 2.05655 2.79881 2.34869 2.92915 3.6688 0.995323 1.44902 1.34303 
 ;0.356824 0.886571 1.15437 1.0354 2.49929 3.76045 4.38533 3.1318 1.9893 
 ;1.13022 0.324209 0.0741011 0.0577199 5.98233 5.25159 1.89487 0.317022 0.13731 
 ;0.63774 0.941931 1.08683 1.03119 2.39884 2.49702 2.86913 2.56877 3.16275 
 ;0.647945 2.06996 1.48368 1.1428 1.62944 2.11824 1.60927 1.70528 1.15882 
 ;0.866858 1.16054 1.05236 0.732927 2.02895 1.77784 2.54795 1.77428 2.05472 
 ;1.37066 2.03162 1.13644 1.59679 3.56866 3.96074 3.34637 2.23971 2.48449 
 ;1.82595 3.30998 2.48881 1.30686 1.98458 2.46391 1.49497 0.888072 2.64057 
 ;0.358511 1.04232 1.64167 1.63907 1.95313 2.56045 2.56513 1.10793 1.79867 
 ;0.473864 0.929731 1.80861 2.21144 1.81413 2.11 1.97008 1.38646 2.47431 
 ;0.658952 1.31129 2.81413 2.52987 1.88636 1.86806 0.946676 1.74023 1.44929 
 ;0.792222 0.954028 1.29285 2.1423 2.33193 2.77473 2.16137 2.4352 1.04865 
 ;1.09616 1.27641 1.09192 0.6062 0.871322 1.83378 2.54064 2.63703 1.4627 
 ;0.0298184 0.0725806 0.195524 0.220679 4.52201 3.74856 1.43648 1.08536 0.0637908 
 ;2.0524 1.22887 0.845728 0.929205 1.93466 1.50795 1.24156 1.80875 7.5278 
 ;1.06074 1.54002 0.408567 0.774267 1.09058 0.994123 0.98604 1.2826 2.63222 
 ;3.83886 1.73876 0.616016 0.756929 1.36744 0.930148 2.4181 2.1867 3.21901 
 ;3.06028 3.45923 1.80387 1.21571 2.49025 1.98291 3.25778 3.0164 1.96629 
 ;1.41295 2.59479 1.60027 1.09747 1.11198 1.38235 1.3768 0.87972 1.51063 
 ;0.649857 1.33103 1.14676 1.24086 1.43653 1.88728 1.77175 1.24862 1.97515 
 ;0.673248 2.56486 3.1046 2.8191 2.07304 1.6104 1.65182 1.73637 2.84164 
 ;0.555322 0.683592 1.27029 1.72877 2.35563 1.28406 1.45105 1.57421 2.01284 
 ;0.277798 0.564982 0.587021 3.24628 3.33025 2.76574 4.35634 3.99125 1.36247 
 ;0.595205 1.73341 0.441898 0.873493 2.36975 2.93007 2.09304 1.46829 1.94233 
 ;0.0318356 0.168357 0.146299 0.0848659 0.611572 0.516465 0.279006 0.674211 0.911389 
 ;1.64066 1.42187 0.658625 0.825917 1.1725 1.44901 2.97221 3.34798 13.9234 
 ;1.00803 0.890038 0.479714 0.531827 0.902247 1.23418 1.74955 0.968194 2.5098 
