[0.188235 0.0768063 0.170131 0.330271 4.26129 2.61274 0.383851 0.243681 0.165251 
 ;1.75765 0.647951 0.64014 0.805722 1.38436 0.628795 0.377861 0.44247 0.662936 
 ;0.920346 0.572355 0.439084 0.800736 2.03129 1.6157 1.31137 0.557411 0.490934 
 ;0.657479 0.393687 0.622608 0.905557 0.651171 0.847003 0.553017 0.465915 0.400047 
 ;0.575005 0.513141 0.44317 0.686231 1.63145 1.18167 0.583118 0.50773 0.320004 
 ;0.658538 0.61972 0.737672 0.981831 1.75507 0.882398 0.352497 0.251996 0.27322 
 ;0.924683 0.53304 0.253183 0.532791 0.807673 0.785313 0.432061 0.570071 0.78115 
 ;3.10112 2.20586 0.863815 0.294498 0.616378 1.19603 0.538118 2.26213 3.1704 
 ;0.930306 0.818235 0.976418 1.34167 1.40834 2.43725 0.768799 0.770326 1.67035 
 ;0.102626 0.201441 0.507297 1.04018 1.66878 1.20907 0.740694 0.18683 0.209674 
 ;2.64649 1.77772 0.380502 0.67993 0.744221 0.813494 1.07807 1.15226 2.23403 
 ;1.99816 1.98481 1.01818 0.702539 0.745759 0.574243 1.23503 1.8293 3.48358 
 ;0.782453 1.87268 1.13866 0.266285 0.535998 0.420349 0.894632 1.12851 1.68732 
 ;1.96851 2.10662 0.562439 0.386561 0.481247 0.842896 0.613577 2.22955 4.06791 
 ;3.14179 3.55016 1.99883 0.996429 0.967005 0.491469 0.465803 1.30407 3.77052 
 ;1.8798 2.06911 1.75943 0.532034 0.518602 0.52219 0.405547 0.906087 2.99687 
 ;3.36469 2.72275 1.11339 0.517721 0.737943 0.675483 0.790071 1.55972 4.73769 
 ;1.32359 2.26193 0.592843 0.440197 0.679864 0.646389 0.656278 1.0239 1.43414 
 ;0.612339 0.984404 0.683552 0.547652 0.729526 0.594194 0.353735 0.218062 0.44244 
 ;2.78671 1.37692 0.363184 0.305616 0.403037 0.613997 0.605577 0.607469 4.21519 
 ;2.42923 1.52601 0.982441 0.493604 0.46323 0.551106 0.522438 0.765346 5.66818 
 ;0.933838 1.17319 0.751359 0.654546 0.320247 0.607599 0.833114 0.890664 2.42309 
 ;0.702114 0.617256 0.524522 0.737989 1.04822 0.911413 1.11077 1.81479 1.79637 
 ;1.40939 1.42511 1.42122 0.913163 1.55569 0.926415 0.868096 1.17766 2.02268 
 ;2.05852 1.49188 0.706195 0.273772 0.157656 0.126309 0.26969 1.10726 1.91889 
 ;3.23174 2.61184 1.07566 0.662149 0.199324 0.240025 0.582281 1.24268 4.61775 
 ;1.06339 1.19695 0.424226 0.236208 0.34859 0.395454 0.370653 0.517274 1.69037 
 ;0.335234 0.605314 0.578283 0.651996 1.17256 1.04023 0.665852 0.474456 0.336013 
 ;1.70373 0.888382 0.479313 0.317304 0.568959 0.538983 0.674712 0.594393 1.76936 
 ;1.3675 1.65284 1.31124 0.412877 1.12082 0.915871 1.15875 1.20206 2.03464 
 ;1.09651 1.32342 0.801443 0.41147 0.395375 0.504169 0.967655 1.62227 2.0824 
